Feature,,
Total Specialist Physicians (2019),"Sum of Psychiatry, Surgery, Anesthesiology, Emergency Med, Radiology, Cardiology, Oncology, Endocrinology, and Other specialists (2019) (Assumed proportion to fraction of state population living in county",
ICU Beds_x,Number of ICU beds per county,
Population Aged 60+,Population aged 60+,All of the other age columns are the same but with varying age
Percent of Population Aged 60+,% of the population aged 60+,
STATE_FIPS,FIPS Code for the State,
county_pop2018_18 and older,Population aged 18+ per county in 2018,
anycondition_prevalence,A prevalence rate is the total number of cases of a disease existing in a population divided by the total population.,
anycondition_Lower 95% CI,CI means confidence interval,
anycondition_Upper 95% CI,,
anycondition_number,Population with anycondition,
Obesity_prevalence,,
Obesity_Lower 95% CI,,
Obesity_Upper 95% CI,,
Obesity_number,Population with Obesity,
Heart disease_prevalence,,
Heart disease_Lower 95% CI,,
Heart disease_Upper 95% CI,,
Heart disease_number,Population with Heart Disease,
COPD_prevalence,,
COPD_Lower 95% CI,,
COPD_Upper 95% CI,,
COPD_number,Population with COPD,
diabetes_prevalence,,
diabetes_Lower 95% CI,,
diabetes_Upper 95% CI,,
diabetes_number,Population with diabetes,
CKD_prevalence,,
CKD_Lower 95% CI,,
CKD_Upper 95% CI,,
CKD_number,Population with CKD,
Urban_rural_code,"It distinguishes metropolitan (metro) counties by the population size of their metro area, and nonmetropolitan (nonmetro) counties by degree of urbanization and adjacency to a metro area or areas. ",
,Metro counties:,
,,
,1 (Counties in metro areas of 1 million population or more),
,"2 (Counties in metro areas of 250,000 to 1 million population)",
,"3 (Counties in metro areas of fewer than 250,000 population)",
,,
,Nonmetro counties:,
,,
,"4 (Urban population of 20,000 or more, adjacent to a metro area)",
,"5 (Urban population of 20,000 or more, not adjacent to a metro area)",
,"6 (Urban population of 2,500 to 19,999, adjacent to a metro area)",
,"7 (Urban population of 2,500 to 19,999, not adjacent to a metro area)",
,"8 (Completely rural or less than 2,500 urban population, adjacent to a metro area)",
,"9 (Completely rural or less than 2,500 urban population, not adjacent to a metro area)",
,88 (Unknown-Alaska/Hawaii State/not official USDA Rural-Urban Continuum code),
,99 (Unknown/not official USDA Rural-Urban Continuum code),
